title,studio,domestic_gross,foreign_gross,year
gett: the trial of viviane amsalem,MBox,988000.0,,2015
boruto: naruto the movie,Elev.,920000.0,,2015
singh is bling,Eros,919000.0,,2015
abcd (any body can dance) 2,UTV,892000.0,,2015
mustang,Cohen,845000.0,,2015
labyrinth of lies,SPC,794000.0,,2015
the d train,IFC,673000.0,102000,2015
seymour: an introduction,IFC,744000.0,,2015
tangerine,Magn.,702000.0,,2015
red army,SPC,695000.0,,2015
the stanford prison experiment,IFC,661000.0,,2015
the assassin,WGUSA,633000.0,,2015
"kumiko, the treasure hunter",Ampl.,623000.0,,2015
welcome to me,Alc,609000.0,,2015
black panthers: vanguard of the revolution,PBS,517000.0,67200,2015
detective byomkesh bakshy,Yash,579000.0,,2015
freeheld,LGF,573000.0,,2015
when marnie was there,GK,561000.0,,2015
gabbar is back,Eros,535000.0,,2015
the last - naruto the movie,Elev.,524000.0,,2015
peggy guggenheim art addict,SD,498000.0,,2015
phantom (2015),UTV,490000.0,,2015
somewhere only we know,CL,482000.0,,2015
let's get married,CL,463000.0,,2015
bombay velvet,FIP,451000.0,,2015
attack on titan: part 1,FUN,450000.0,,2015
the third man (2015 re-release),Rialto,449000.0,,2015
saint laurent,SPC,429000.0,,2015
listen to me marlon,SHO,426000.0,,2015
heart of a dog,Abr.,421000.0,,2015
the witness (wo shi zheng ren),CL,418000.0,,2015
unbranded,Grav.,410000.0,,2015
the second mother,Osci.,377000.0,,2015
kahlil gibran's the prophet (gathr),Gathr,370000.0,,2015
katti batti,UTV,365000.0,,2015
kahlil gibran's the prophet,GK,355000.0,,2015
effie gray,AF,353000.0,,2015
noble,Asp.,347000.0,,2015
northern limit line,WGUSA,338000.0,,2015
shamitabh,Eros,325000.0,,2015
jafar panahi's taxi,KL,322000.0,,2015
good kill,IFC,316000.0,,2015
running man (2015),CL,311000.0,,2015
attack on titan: part 2,FUN,306000.0,,2015
theeb,FM,283000.0,,2015
white god,Magn.,282000.0,,2015
a borrowed identity,Strand,282000.0,,2015
in the name of my daughter,Cohen,278000.0,,2015
hitchcock/truffaut,Cohen,260000.0,,2015
love (2015),Alc,249000.0,,2015
tevar,Eros,236000.0,,2015
20 once again,CJ,235000.0,,2015
slow west,A24,229000.0,,2015
a royal night out,ADC,228000.0,,2015
a pigeon sat on a branch reflecting on existence,Magn.,223000.0,,2015
pyaar ka punchnama 2,Rel.,223000.0,,2015
fall in love like a star,CL,213000.0,,2015
dark places,A24,209000.0,,2015
heneral luna,Abr.,206000.0,,2015
gemma bovery,MBox,192000.0,,2015
the connection,Drft.,191000.0,,2015
love and lost (shi gu),CL,189000.0,,2015
stonewall (2015),RAtt.,188000.0,,2015
maggie,RAtt.,187000.0,,2015
detective k: secret of the lost island,CJ,185000.0,,2015
the priests,CJ,185000.0,,2015
the farewell party,Gold.,173000.0,,2015
a brilliant young mind,Gold.,172000.0,,2015
time out of mind,IFC,167000.0,,2015
snow girl and the dark crystal,WGUSA,165000.0,,2015
c'est si bon,CJ,164000.0,,2015
the last women standing,CL,163000.0,,2015
5 to 7,IFC,163000.0,,2015
after the ball,Free,162000.0,,2015
human capital,FM,159000.0,,2015
experimenter,Magn.,156000.0,,2015
desert dancer,Rela.,155000.0,,2015
samba,BG,152000.0,,2015
the tribe,Drft.,151000.0,,2015
forever young (2015),CL,150000.0,,2015
the new girlfriend,Cohen,147000.0,,2015
tangerines,Gold.,145000.0,,2015
manglehorn,IFC,143000.0,,2015
ingrid bergman: in her own words,Rialto,138000.0,,2015
twenty (2015),CJ,136000.0,,2015
la sapienza,KL,135000.0,,2015
mississippi grind,A24,131000.0,,2015
a journey through time with anthony,CL,127000.0,,2015
boulevard,SM,126000.0,,2015
z for zachariah,RAtt.,121000.0,,2015
do i sound gay?,IFC,119000.0,,2015
love live! the school idol movie,AZ,116000.0,,2015
she's funny that way,LGP,112000.0,,2015
memories of the sword,WGUSA,111000.0,,2015
the look of silence,Drft.,109000.0,,2015
the beauty inside,WGUSA,108000.0,,2015
the chronicles of evil,CJ,105000.0,,2015
every secret thing,SM,104000.0,,2015
ghost in the shell: the new movie,FUN,101000.0,,2015
black souls (anime nere),Alc,101000.0,,2015
a poem is a naked person (2015 re-issue),Jan.,96600.0,,2015
saving mr. wu,UEP,92700.0,,2015
the tales of hoffmann (2015 re-issue),Rialto,91900.0,,2015
christmas eve,Ampl.,91300.0,,2015
queen of earth,IFC,91200.0,,2015
hero (2015),Eros,88700.0,,2015
sunshine superman,Magn.,88100.0,,2015
heaven knows what,RTWC,80700.0,,2015
nasty baby,Orch.,79800.0,,2015
the wonders,Osci.,73400.0,,2015
predestination,VE,68400.0,,2015
people places things,TFA,67000.0,,2015
eden,BG,65500.0,,2015
the duke of burgundy,IFC,64500.0,,2015
the office,CL,63700.0,,2015
flowers,MBox,61600.0,,2015
only you,CL,61600.0,,2015
girlhood (2015),Strand,60800.0,,2015
jauja,CGld,60200.0,,2015
gueros,KL,60100.0,,2015
i smile back,BG,58700.0,,2015
the ark of mr. chow,CL,54100.0,,2015
love thy nature,ITL,41100.0,11800,2015
the advocate: a missing body,CJ,50200.0,,2015
heist (2015),LGP,50100.0,,2015
difret,TA,49700.0,,2015
appropriate behavior,Grav.,46900.0,,2015
beyond the reach,RAtt.,45900.0,,2015
the salvation,IFC,44900.0,,2015
madame bovary,Alc,44200.0,,2015
charlie's country,MR,42900.0,,2015
pearl button,KL,42200.0,,2015
queen and country,BBC,41300.0,,2015
the phone,CJ,40500.0,,2015
what our fathers did: a nazi legacy,Osci.,40100.0,,2015
lila & eve,Gold.,38300.0,,2015
before we go,RTWC,37200.0,,2015
the mafia only kills in summer,Distrib.,37100.0,,2015
knock knock,LGP,36300.0,,2015
kindergarten teacher,KL,36200.0,,2015
welcome to leith,FRun,36000.0,,2015
wild city,WGUSA,34900.0,,2015
the forbidden room,KL,34400.0,,2015
song one,TFA,32299.0,,2015
love forecast,CJ,32200.0,,2015
"out 1, noli me tangere",CFilms,31500.0,,2015
"3 1/2 minutes, 10 bullets",Part.,30400.0,,2015
paulette,Cohen,29500.0,,2015
the cut,Strand,28100.0,,2015
the keeping room,Drft.,27200.0,,2015
big game,EC,24600.0,,2015
kill me three times,Magn.,24300.0,,2015
"hippocrates, diary of a french doctor",Distrib.,23100.0,,2015
court,Zeit.,22900.0,,2015
salut d'amour,CJ,22500.0,,2015
mediterranea,IFC,22100.0,,2015
noma - my perfect storm,Magn.,21100.0,,2015
the little death,Magn.,18200.0,,2015
gangnam 1970,CJ,18000.0,,2015
strangerland,Alc,17500.0,,2015
eastern boys,FRun,16800.0,,2015
extraction,LGP,16800.0,,2015
eva,Wein.,16700.0,,2015
the world of kanako,Drft.,16600.0,,2015
zombeavers,Free,14900.0,,2015
the hallow,IFC,13900.0,,2015
amour fou,FM,13700.0,,2015
arabian nights: volume 1 - the restless one,KL,12300.0,,2015
of horses and men,MBox,11900.0,,2015
marie's story,FM,11700.0,,2015
1001 grams,KL,11000.0,,2015
empire of lust,CJ,10700.0,,2015
the forecaster,FOR,10200.0,,2015
still life (2015),Trib.,9500.0,,2015
every thing will be fine,IFC,9200.0,,2015
the lesson,FM,9000.0,,2015
an eye for beauty,MR,9000.0,,2015
northern soul,Free,8900.0,,2015
the girl in the book,Free,8200.0,,2015
steak (r)evolution,KL,8000.0,,2015
on the way to school,Distrib.,7400.0,,2015
hungry hearts,IFC,6900.0,,2015
steve mcqueen: the man & le mans,FR,6800.0,,2015
arabian nights: volume 2 - the desolate one,KL,6400.0,,2015
alleluia,MBox,6300.0,,2015
barely lethal,A24,6100.0,,2015
chic!,Distrib.,5600.0,,2015
far from men,Trib.,5300.0,,2015
the dead lands,Magn.,5200.0,,2015
jenny's wedding,IFC,4700.0,,2015
against the sun,TAFC,4600.0,,2015
ashby,TFA,4600.0,,2015
arabian nights: volume 3 - the enchanted one,KL,4500.0,,2015
the summer of sangaile,Strand,4500.0,,2015
club life,Orch.,4400.0,,2015
back to the jurassic,CJ,4400.0,,2015
in the basement,Strand,3600.0,,2015
fidelio: alice's odyssey,FRun,3600.0,,2015
that sugar film,Gold.,3500.0,,2015
xenia,Strand,3200.0,,2015
the iron ministry,Icar.,3200.0,,2015
the lady in the car with glasses and a gun,Magn.,2200.0,,2015
stations of the cross,FM,1500.0,,2015
skin trade,Magn.,1200.0,,2015
thanks to my friends,Distrib.,900.0,,2015
rec 4: apocalypse,Magn.,800.0,,2015
it's all so quiet (boven is het stil),BWP,700.0,,2015
tough being loved by jerks,KL,700.0,,2015
the chambermaid,FM,300.0,,2015
captain america: civil war,BV,408100000.0,745200000,2016
rogue one: a star wars story,BV,532200000.0,523900000,2016
finding dory,BV,486300000.0,542300000,2016
zootopia,BV,341300000.0,682500000,2016
the jungle book (2016),BV,364000000.0,602500000,2016
the secret life of pets,Uni.,368400000.0,507100000,2016
batman v superman: dawn of justice,WB,330400000.0,543300000,2016
fantastic beasts and where to find them,WB,234000000.0,580000000,2016
deadpool,Fox,363100000.0,420000000,2016
suicide squad,WB,325100000.0,421700000,2016
doctor strange,BV,232600000.0,445100000,2016
moana,BV,248800000.0,394600000,2016
sing,Uni.,270400000.0,363800000,2016
the mermaid (mei ren yu),Sony,3200000.0,550600000,2016
x-men: apocalypse,Fox,155400000.0,388500000,2016
kung fu panda 3,Fox,143500000.0,377600000,2016
la la land,LG/S,151100000.0,295000000,2016
warcraft,Uni.,47400000.0,386300000,2016
jason bourne,Uni.,162400000.0,253100000,2016
ice age: collision course,Fox,64099999.0,344500000,2016
independence day: resurgence,Fox,103100000.0,286500000,2016
monster hunt,FR,32800.0,385300000,2016
the legend of tarzan,WB,126600000.0,230100000,2016
the angry birds movie,Sony,107500000.0,244800000,2016
trolls,Fox,153700000.0,193200000,2016
star trek beyond,Par.,158800000.0,184600000,2016
now you see me 2,LG/S,65099999.0,269800000,2016
the conjuring 2,WB (NL),102500000.0,217900000,2016
passengers (2016),Sony,100000000.0,203100000,2016
dangal,UTV,12400000.0,290500000,2016
alice through the looking glass,BV,77000000.0,222400000,2016
miss peregrine's home for peculiar children,Fox,87200000.0,209200000,2016
teenage mutant ninja turtles: out of the shadows,Par.,82100000.0,163600000,2016
assassin's creed,Fox,54600000.0,186300000,2016
sully,WB,125100000.0,115700000,2016
hidden figures,Fox,169600000.0,66300000,2016
ghostbusters (2016),Sony,128400000.0,100800000,2016
inferno,Sony,34300000.0,185700000,2016
central intelligence,WB (NL),127400000.0,89500000,2016
bridget jones's baby,Uni.,24300000.0,187700000,2016
me before you,WB (NL),56200000.0,152100000,2016
london has fallen,Focus,62500000.0,143200000,2016
arrival,Par.,100500000.0,102800000,2016
the monkey king 2 in 3d,CL,710000.0,193000000,2016
bad moms,STX,113300000.0,70700000,2016
storks,WB,72700000.0,110700000,2016
the bfg,BV,55500000.0,127900000,2016
the divergent series: allegiant,LG/S,66200000.0,113100000,2016
hacksaw ridge,LGF,67200000.0,108100000,2016
the girl on the train (2016),Uni.,75400000.0,97800000,2016
operation mekong,WGUSA,800000.0,172300000,2016
the huntsman: winter's war,Uni.,48400000.0,116600000,2016
the magnificent seven (2016),Sony,93400000.0,68900000,2016
jack reacher: never go back,Par.,58700000.0,103400000,2016
don't breathe,SGem,89200000.0,67900000,2016
ip man 3,WGUSA,2700000.0,154200000,2016
the accountant,WB,86300000.0,68900000,2016
gods of egypt,LG/S,31200000.0,119500000,2016
lights out,WB (NL),67300000.0,81600000,2016
pete's dragon (2016),BV,76200000.0,67500000,2016
sausage party,Sony,97700000.0,43000000,2016
lion,Wein.,51700000.0,88600000,2016
detective chinatown (tang ren jie tan an),CL,474000.0,125400000,2016
mechanic: resurrection,LG/S,21200000.0,104500000,2016
ride along 2,Uni.,91200000.0,33400000,2016
deepwater horizon,LG/S,61400000.0,60400000,2016
allied,Par.,40100000.0,79400000,2016
the shallows,Sony,55100000.0,64000000,2016
the purge: election year,Uni.,79200000.0,39400000,2016
why him?,Fox,60300000.0,57800000,2016
finding mr. right 2,CL,,114700000,2016
office christmas party,Par.,54800000.0,59700000,2016
how to be single,WB (NL),46800000.0,65500000,2016
10 cloverfield lane,Par.,72100000.0,38100000,2016
the 5th wave,Sony,34900000.0,75000000,2016
neighbors 2: sorority rising,Uni.,55500000.0,52600000,2016
cold war 2,WGUSA,561000.0,102600000,2016
the little prince,EOne,1300000.0,96200000,2016
dirty grandpa,LGF,35600000.0,58500000,2016
ben-hur (2016),Par.,26400000.0,67700000,2016
money monster,TriS,41000000.0,52300000,2016
my big fat greek wedding 2,Uni.,59700000.0,29200000,2016
collateral beauty,WB (NL),31000000.0,57500000,2016
train to busan,WGUSA,2100000.0,85400000,2016
sultan,Yash,6200000.0,81100000,2016
war dogs,WB,43000000.0,43200000,2016
nerve,LGF,38600000.0,46700000,2016
ouija: origin of evil,Uni.,35100000.0,46600000,2016
manchester by the sea,RAtt.,47700000.0,31300000,2016
the boss,Uni.,63300000.0,15600000,2016
shin godzilla,FUN,1900000.0,76000000,2016
mike and dave need wedding dates,Fox,46000000.0,31100000,2016
boo! a madea halloween,LGF,73200000.0,1600000,2016
miracles from heaven,TriS,61700000.0,12200000,2016
i am not madame bovary,WGUSA,437000.0,70400000,2016
kubo and the two strings,Focus,48000000.0,21900000,2016
13 hours: the secret soldiers of benghazi,Par.,52900000.0,16600000,2016
moonlight (2016),A24,27900000.0,37200000,2016
fences,Par.,57700000.0,6700000,2016
the boy (2016),STX,35800000.0,28400000,2016
"hail, caesar!",Uni.,30500000.0,33100000,2016
the nice guys,WB,36300000.0,26500000,2016
l.o.r.d: legend of ravaging dynasties,AR,350000.0,57700000,2016
nine lives (2016),EC,19700000.0,38100000,2016
zoolander 2,Par.,28800000.0,27900000,2016
barbershop: the next cut,WB (NL),54000000.0,1000000,2016
the finest hours,BV,27600000.0,24500000,2016
master,CJ,597000.0,51000000,2016
patriots day,LGF,31900000.0,18700000,2016
florence foster jenkins,Par.,27400000.0,21500000,2016
mother's day,ORF,32500000.0,15900000,2016
luck-key,JBG,467000.0,47700000,2016
yo-kai watch: the movie,Elev.,257000.0,47600000,2016
a monster calls,Focus,3700000.0,43600000,2016
eddie the eagle,Fox,15800000.0,30400000,2016
risen,Sony,36900000.0,9200000,2016
blair witch,LGF,20800000.0,24400000,2016
cafe society,LGF,11100000.0,32700000,2016
almost christmas,Uni.,42200000.0,422000,2016
the witch,A24,25100000.0,15300000,2016
the wild life (2016),LG/S,8000000.0,31500000,2016
criminal (2016),LG/S,14700000.0,24100000,2016
absolutely fabulous: the movie,FoxS,4800000.0,33100000,2016
hell or high water,LGF,27000000.0,10900000,2016
the forest,Focus,26600000.0,11000000,2016
snowden,ORF,21600000.0,15700000,2016
billy lynn's long halftime walk,TriS,1700000.0,29200000,2016
when the bough breaks,SGem,29700000.0,911000,2016
nocturnal animals,Focus,10700000.0,19600000,2016
keeping up with the joneses,Fox,14900000.0,15000000,2016
ae dil hai mushkil,FIP,4300000.0,24100000,2016
fan,Yash,2300000.0,25900000,2016
m.s. dhoni: the untold story,FIP,1800000.0,26000000,2016
the light between oceans,BV,12500000.0,13400000,2016
the brothers grimsby,Sony,6900000.0,18300000,2016
race (2016),Focus,19200000.0,5900000,2016
free state of jones,STX,20800000.0,4200000,2016
a beautiful planet,Imax,15500000.0,9400000,2016
god's not dead 2,PFR,20800000.0,3700000,2016
silence (2016),Par.,7100000.0,16600000,2016
middle school: the worst years of my life,LGF,20000000.0,3300000,2016
triple 9,ORF,12600000.0,10500000,2016
whiskey tango foxtrot,Par.,23100000.0,,2016
captain fantastic,BST,5900000.0,16900000,2016
live by night,WB,10400000.0,12300000,2016
julieta,SPC,1500000.0,21000000,2016
solace,LGP,,22400000,2016
fifty shades of black,ORF,11700000.0,10500000,2016
keanu,WB (NL),20600000.0,,2016
el clan,FIP,201000.0,20200000,2016
the edge of seventeen,STX,14400000.0,4400000,2016
the choice,LGF,18700000.0,,2016
eye in the sky,BST,18700000.0,,2016
bad santa 2,BG,17800000.0,,2016
regression,W/Dim.,55000.0,17600000,2016
neerja,FIP,1600000.0,16000000,2016
masterminds (2016),Rela.,17400000.0,,2016
norm of the north,LGF,17100000.0,,2016
hardcore henry,STX,9300000.0,7600000,2016
pride and prejudice and zombies,SGem,10900000.0,5500000,2016
the infiltrator,BG,15400000.0,,2016
kapoor & sons - since 1921,FIP,2600000.0,12800000,2016
the take (2016),HTR,50300.0,14800000,2016
sword master,WGUSA,75500.0,14600000,2016
"hello, my name is doris",RAtt.,14400000.0,,2016
the other side of the door,Fox,3000000.0,11300000,2016
love & friendship,RAtt.,14000000.0,,2016
jackie,FoxS,14000000.0,,2016
sing street,Wein.,3200000.0,10400000,2016
shut in,EC,6900000.0,6200000,2016
loving,Focus,7800000.0,5200000,2016
the beatles: eight days a week - the touring years,Abr.,2900000.0,9400000,2016
the man who knew infinity,IFC,3900000.0,8400000,2016
no manches frida,PNT,11500000.0,,2016
the darkness,BH Tilt,10800000.0,,2016
our kind of traitor,RAtt.,3200000.0,7600000,2016
the perfect match,LGF,9700000.0,745000,2016
queen of katwe,BV,8900000.0,1500000,2016
miss sloane,EC,3500000.0,5600000,2016
ratchet & clank,Focus,8800000.0,,2016
morgan,Fox,3900000.0,4900000,2016
the lobster (us release),A24,8700000.0,,2016
my king (mon roi),FM,54100.0,7900000,2016
pele: birth of a legend,IFC,57000.0,7800000,2016
a bigger splash,FoxS,2000000.0,5500000,2016
southside with you,RAtt.,6300000.0,208000,2016
the young messiah,Focus,6500000.0,,2016
incarnate,BH Tilt,4800000.0,1500000,2016
max steel,ORF,3800000.0,2500000,2016
midnight special,WB,3700000.0,2500000,2016
the duelist,Sony,13500.0,6100000,2016
the autopsy of jane doe,IFC,10500.0,6000000,2016
my best friend's wedding (2016),Sony,78600.0,5600000,2016
genius,RAtt.,1400000.0,4300000,2016
20th century women,A24,5700000.0,,2016
hunt for the wilderpeople,Orch.,5200000.0,,2016
bleed for this,ORF,5100000.0,,2016
hands of stone,Wein.,4700000.0,,2016
men & chicken,Drft.,30200.0,4600000,2016
the meddler,SPC,4300000.0,,2016
a hologram for the king,RAtt.,4200000.0,,2016
swiss army man,A24,4200000.0,,2016
denial,BST,4099999.0,,2016
indignation,RAtt.,3400000.0,523000,2016
kabali,CineGalaxy,3900000.0,,2016
rules don't apply,Fox,3700000.0,233000,2016
where to invade next,Drft.,3800000.0,,2016
batman: the killing joke,Fathom,3800000.0,,2016
naam hai akira,FIP,219000.0,3500000,2016
a man called ove,MBox,3500000.0,,2016
miles ahead,SPC,2600000.0,850000,2016
everybody wants some!!,Par.,3400000.0,,2016
maggie's plan,SPC,3400000.0,,2016
the program (2016),EOne,13100.0,3300000,2016
green room,A24,3200000.0,,2016
the eagle huntress,SPC,3200000.0,,2016
compadres,PNT,3100000.0,,2016
desierto,STX,2000000.0,1000000,2016
anthropoid,BST,3000000.0,,2016
hillsong - let hope rise,PFR,2400000.0,255000,2016
el jeremias,Sony,650000.0,1900000,2016
the disappointments room,Rela.,2400000.0,,2016
dear zindagi,Relbig.,2400000.0,,2016
elle,SPC,2300000.0,,2016
paterson,BST,2200000.0,,2016
equals,A24,33300.0,2100000,2016
i'm not ashamed,PFR,2100000.0,,2016
the dressmaker,BG,2000000.0,,2016
the handmaiden,Magn.,2000000.0,,2016
demolition,FoxS,2000000.0,,2016
american honey,A24,663000.0,1200000,2016
busco novio para mi mujer,PNT,1700000.0,,2016
a perfect day,IFC,14000.0,1700000,2016
weiner,IFC,1700000.0,,2016
rustom,Zee,1100000.0,571000,2016
i saw the light,SPC,1600000.0,,2016
jane got a gun,Wein.,1500000.0,,2016
toni erdmann,SPC,1500000.0,,2016
the neon demon,BG,1300000.0,,2016
embrace of the serpent,Osci.,1300000.0,,2016
housefull 3,Eros,1300000.0,,2016
mohenjo daro,UTV,1300000.0,,2016
lazer team,Ampl.,1200000.0,,2016
the music of strangers,Orch.,1200000.0,,2016
dough,Men.,1100000.0,,2016
ma ma,Osci.,47300.0,1100000,2016
wazir,Relbig.,1100000.0,,2016
papa: hemingway in cuba,YFG,1100000.0,,2016
certain women,IFC,1100000.0,,2016
the innocents,MBox,1100000.0,,2016
elvis & nixon,BST,1100000.0,,2016
operation chromite,CJ,1000000.0,,2016
baar baar dekho,Eros,982000.0,,2016
dark horse (2016),SPC,941000.0,,2016
neruda,Orch.,939000.0,,2016
gentleman,Gaatri,898000.0,,2016
ki & ka,Eros,858000.0,,2016
dishoom,Eros,813000.0,,2016
the wailing (goksung),WGUSA,787000.0,,2016
chongqing hot pot,CL,780000.0,,2016
the polar express (2016 re-issue),WB,765000.0,,2016
little men (2016),Magn.,703000.0,,2016
chaar sahibzaade: rise of band singh bahadur,Eros,701000.0,,2016
born to be blue (us release),IFC,678000.0,,2016
city of gold,IFC,641000.0,,2016
remember (us release),A24,638000.0,,2016
embrace: the documentary,Gathr,629000.0,,2016
tickled,Magn.,614000.0,,2016
"lo and behold, reveries of the connected world",Magn.,595000.0,,2016
a tale of love and darkness,FCW,572000.0,,2016
tunnel,WGUSA,569000.0,,2016
knight of cups,BG,566000.0,,2016
harry & snowman,FR,561000.0,,2016
viral,W/Dim.,,552000,2016
american pastoral,LGF,544000.0,,2016
the age of shadows,CJ,542000.0,,2016
fitoor,UTV,529000.0,,2016
the first monday in may,Magn.,527000.0,,2016
marguerite,Cohen,497000.0,,2016
the boy and the beast,FUN,491000.0,,2016
wiener-dog,IFC,477000.0,,2016
our little sister,SPC,468000.0,,2016
only yesterday (2016 re-release),GK,453000.0,,2016
baaghi,UTV,438000.0,,2016
land of mine,SPC,435000.0,,2016
things to come,IFC,388000.0,,2016
the lobster (canada release),Mon,377000.0,,2016
mr. donkey,CL,356000.0,,2016
happy bhaag jayegi,Eros,352000.0,,2016
high-rise,Magn.,346000.0,,2016
te3n,Rel.,332000.0,,2016
francofonia,MBox,307000.0,,2016
mia madre,MBox,303000.0,,2016
april and the extraordinary world,GK,295000.0,,2016
ixcanul,KL,295000.0,,2016
the people vs. fritz bauer,Cohen,288000.0,,2016
aquarius,Vita.,286000.0,,2016
kingsglaive: final fantasy: xv,VE,270000.0,,2016
my golden days,Magn.,269000.0,,2016
the family fang,SM,263000.0,,2016
dheepan,IFC,262000.0,,2016
"life, animated",Orch.,255000.0,,2016
oasis: supersonic,A24,243000.0,,2016
the invitation,Drft.,232000.0,,2016
miss hokusai,GK,223000.0,,2016
kaptaan,UTV,204000.0,,2016
league of gods,Sony,182000.0,,2016
viva,Magn.,178000.0,,2016
the wave,Magn.,177000.0,,2016
asura: the city of madness,CJ,176000.0,,2016
louder than bombs,Orch.,164000.0,,2016
howards end (2016 restoration),Cohen,160000.0,,2016
sunset song,Magn.,160000.0,,2016
born to be blue,EOne,152000.0,,2016
seasons,MBox,150000.0,,2016
rams (hrútar),Cohen,149000.0,,2016
tumbledown,SM,135000.0,,2016
the brand new testament,MBox,128000.0,,2016
spirits' homecoming,PM&E,126000.0,,2016
sweet bean,KL,125000.0,,2016
a war,Magn.,123000.0,,2016
fire at sea,KL,121000.0,,2016
hockney,FM,121000.0,,2016
three,WGUSA,120000.0,,2016
tale of tales,IFC,119000.0,,2016
the measure of a man,KL,112000.0,,2016
aferim!,BWP,108000.0,,2016
until forever (por siempre),CZ,105000.0,,2016
under the sun (2016),Icar.,105000.0,,2016
our last tango,Strand,100000.0,,2016
rock on 2,Eros,98900.0,,2016
seondal: the man who sells the river,CJ,97500.0,,2016
so young 2: never gone,CL,96400.0,,2016
"new york, new york (2016)",CL,92400.0,,2016
fireworks wednesday,Ghop,90500.0,,2016
no one's life is easy: so i married an anti-fan,CL,89300.0,,2016
"my love, don't cross that river",FM,88000.0,,2016
author: the jt leroy story,Magn.,86000.0,,2016
mountains may depart,KL,82900.0,,2016
cock and bull,CL,82800.0,,2016
a street cat named bob,Cleopatra,82700.0,,2016
les cowboys,Cohen,80800.0,,2016
saala khadoos,UTV,76900.0,,2016
the monster (2016),A24,12500.0,62200,2016
dancer,IFC,71900.0,,2016
sweet 20,CJ,71800.0,,2016
the dark horse,BG,67500.0,,2016
phantom detective,CJ,67100.0,,2016
ran (2016 re-issue),Rialto,66100.0,,2016
microbe & gasoline,Scre.,63800.0,,2016
time renegades,CJ,59400.0,,2016
vanishing time: a boy who returned,Dreamwest,57800.0,,2016
dongju: the portrait of a poet,CJ,56600.0,,2016
l'attesa,Osci.,55800.0,,2016
the lovers and the despot,Magn.,55500.0,,2016
clown,W/Dim.,55000.0,,2016
diary of a chambermaid,Cohen,54200.0,,2016
high strung (2016),Pala.,53400.0,,2016
the club,MBox,52800.0,,2016
being 17,Strand,52700.0,,2016
the last man on the moon,Grav.,52500.0,,2016
my annoying brother,CJ,52000.0,,2016
cemetery of splendor,Strand,52000.0,,2016
disorder,IFC,51900.0,,2016
like for likes,CJ,50800.0,,2016
in the shadow of women,Distrib.,50300.0,,2016
in order of disappearance,Magn.,50300.0,,2016
the treasure,SDS,50200.0,,2016
fatima,KL,50100.0,,2016
we are x,Drft.,45300.0,,2016
a melody to remember,CJ,44300.0,,2016
phantom of the theatre,WGUSA,44000.0,,2016
mastizaade,Eros,43400.0,,2016
closet monster,Strand,42200.0,,2016
troublemakers: the story of land art,FRun,29500.0,9100,2016
come what may,Cohen,37800.0,,2016
until forever,Linn,35800.0,,2016
summertime (2016),Strand,35300.0,,2016
songs my brothers taught me,KL,34800.0,,2016
mr. right,FCW,34700.0,,2016
phantom boy,GK,34400.0,,2016
sweet sixteen (xia you qiao mu),CL,34300.0,,2016
eisenstein in guanajuato,Strand,34300.0,,2016
last cab to darwin,FRun,34200.0,,2016
the map against the world,CJ,34000.0,,2016
kaili blues,Ghop,32200.0,,2016
anesthesia,IFC,32200.0,,2016
"rio, i love you",Scre.,32000.0,,2016
as i open my eyes,KL,31000.0,,2016
the son of joseph,KL,30600.0,,2016
from afar,Strand,30200.0,,2016
for a few bullets,CL,30100.0,,2016
the last princess,CJ,29300.0,,2016
valley of love,Strand,28600.0,,2016
blackway,Electric,27100.0,,2016
neon bull,KL,26700.0,,2016
papa (luo shan ji dao dan ji hua),Jampa,26700.0,,2016
standing tall (la tete haute),Cohen,26100.0,,2016
chevalier,Strand,25700.0,,2016
the new year's eve of old lee,CL,25400.0,,2016
cosmos,KL,25300.0,,2016
a monster with a thousand heads,MBox,24900.0,,2016
evolution,IFC,24800.0,,2016
"right now, wrong then",Ghop,24500.0,,2016
lolo,FR,24100.0,,2016
sanam teri kasam,Eros,22100.0,,2016
term life,FCW,21300.0,,2016
the sea of trees,A24,20400.0,,2016
wildflower (secretos del alma),CZ,18100.0,,2016
colonia,Scre.,15700.0,,2016
argentina,FRun,14900.0,,2016
remember you,CJ,14800.0,,2016
adderall diaries,A24,13200.0,,2016
neither heaven nor earth,FM,12800.0,,2016
the ones below,Magn.,12500.0,,2016
"kiki, love to love",Strand,12500.0,,2016
don't call me son,Zeit.,11700.0,,2016
jeruzalem,EpicPics,11300.0,,2016
serial killer 1,KL,10300.0,,2016
chronic,MR,9000.0,,2016
magnus,FR,8900.0,,2016
the last king,Magn.,8900.0,,2016
mojave,A24,8300.0,,2016
the other side,FM,8100.0,,2016
the president,Crnth,7600.0,,2016
they will have to kill us first,BBC,7500.0,,2016
the carer,Crnth,6200.0,,2016
klown forever,Drft.,5700.0,,2016
search party,FCW,4600.0,,2016
in harmony,Distrib.,3100.0,,2016
in her name (au nom de ma fille),Distrib.,1600.0,,2016
next time i'll aim for the heart,Distrib.,800.0,,2016
the student and mr. henri,Distrib.,800.0,,2016
down by love,Distrib.,700.0,,2016
news from planet mars,KL,300.0,,2016
satanic,Magn.,300.0,,2016
star wars: the last jedi,BV,620200000.0,712400000,2017
beauty and the beast (2017),BV,504000000.0,759500000,2017
the fate of the furious,Uni.,226000000.0,"1,010.0",2017
